,주소,lat,lng
680,서울특별시 강남구 논현로41길 10,37.4742174,127.0476999
683,서울특별시 강남구 언주로30길 13,37.4881387,127.0511666
693,서울특별시 강남구 도곡로6길 18,37.4890286,127.0343337
694,서울특별시 강남구 강남대로 256,37.486424,127.0334977
699,서울특별시 강남구 도곡로28길 8,37.494213,127.0462502
703,서울특별시 강남구 도곡로14길 28,37.4891448,127.0370914
705,서울특별시 강남구 도곡로14길 27,37.489083,127.0378034
706,서울특별시 강남구 선릉로 221,37.4936848,127.0507447
754,서울특별시 강남구 남부순환로370길 20,37.4840828,127.0425453
755,서울특별시 강남구 남부순환로 2615,37.4851386,127.0358583
756,서울특별시 강남구 남부순환로363길 30,37.4874478,127.0392695
765,서울특별시 강남구 남부순환로363길 49,37.4882393,127.0369876
771,서울특별시 강남구 강남대로 272,37.48774,127.0328905
773,서울특별시 강남구 남부순환로377길 22,37.4876531,127.0453685
774,서울특별시 강남구 도곡로 320,37.494213,127.0462502
785,서울특별시 강남구 논현로 213,37.4904143,127.0401859
799,서울특별시 강남구 남부순환로378길 11,37.4854982,127.0465346
800,서울특별시 강남구 남부순환로378길 9,37.4856334,127.0468766
802,서울특별시 강남구 도곡로14길 12,37.490172,127.0367604
804,서울특별시 강남구 남부순환로373길 4,37.4863725,127.0439985
806,서울특별시 강남구 언주로 203,37.4891712,127.0488071
808,서울특별시 강남구 남부순환로379길 14,37.4885498,127.0462809
816,서울특별시 강남구 남부순환로 2803,37.4896766,127.0505919
824,서울특별시 강남구 논현로 218,37.4907129,127.0421113
830,서울특별시 강남구 남부순환로373길 23,37.487262,127.0438677
835,서울특별시 강남구 언주로30길 21,37.4873002,127.051556
863,서울특별시 강남구 언주로 117,37.4853084,127.0494848
869,서울특별시 강남구 언주로30길 27,37.4883815,127.0525713
871,서울특별시 강남구 언주로29길 34,37.4859032,127.0475934
879,서울특별시 강남구 남부순환로373길 15,37.487089,127.0435778
880,서울특별시 강남구 남부순환로365길 5,37.4858433,127.0389678
888,서울특별시 강남구 언주로30길 56,37.4882818,127.0544123
925,서울특별시 강남구 언주로30길 57,37.4896405,127.0545117
950,서울특별시 강남구 언주로30길 26,37.4873934,127.0527274
972,서울특별시 강남구 도곡로14길 14-1,37.4897911,127.0370152
973,서울특별시 강남구 남부순환로381길 15,37.4877509,127.0475417
974,서울특별시 강남구 남부순환로365길 33,37.4873319,127.0397583
976,서울특별시 강남구 언주로 123,37.4869126,127.0489647
990,서울특별시 강남구 논현로 205,37.4956175,127.0394905
999,서울특별시 강남구 논현로51길 25,37.4889143,127.0394373
1002,서울특별시 강남구 언주로30길 10,37.4873002,127.051556
1025,서울특별시 강남구 도곡로18길 35,37.4892065,127.0391339
1027,서울특별시 강남구 남부순환로377길 25,37.4876241,127.0445671
1029,서울특별시 강남구 남부순환로377길 26,37.4880229,127.0449658
1032,서울특별시 강남구 선릉로100길 42,37.5064703,127.0509131
1039,서울특별시 강남구 테헤란로63길 12,37.5060621,127.0509138
1066,서울특별시 강남구 학동로68길 16,37.5169467,127.0464287
1067,서울특별시 강남구 선릉로112길 74,37.5126524,127.0495691
1068,서울특별시 강남구 봉은사로55길 36,37.5128075,127.043994
1069,서울특별시 강남구 학동로 446,37.5148554,127.033969
1073,서울특별시 강남구 영동대로114길 56,37.5171071,127.0640034
1078,서울특별시 강남구 선릉로126길 22,37.5151584,127.0451257
1085,서울특별시 강남구 영동대로 602,37.5145796,127.060586
1086,서울특별시 강남구 봉은사로 516,37.5131794,127.0559557
1089,서울특별시 강남구 학동로82길 27,37.5172202,127.0523019
1090,서울특별시 강남구 봉은사로111길 34,37.5173852,127.064863
1091,서울특별시 강남구 봉은사로71길 19,37.5134433,127.0495342
1092,서울특별시 강남구 봉은사로 645,37.5154961,127.0657214
1093,서울특별시 강남구 학동로 432,37.5177621,127.0485461
1097,서울특별시 강남구 선릉로 660,37.5154901,127.0423523
1100,서울특별시 강남구 삼성로 629,37.5153685,127.0510708
1102,서울특별시 강남구 학동로68길 30,37.5159844,127.0462102
1105,서울특별시 강남구 학동로64길 7,37.5173694,127.0455489
1109,서울특별시 강남구 학동로68길 29,37.5162276,127.0485407
1129,서울특별시 강남구 학동로 408,37.5174303,127.0440504
1145,서울특별시 강남구 선릉로130길 19,37.5171888,127.0430478
1154,서울특별시 강남구 학동로 412,37.5174878,127.0448098
1155,서울특별시 강남구 삼성로120길 6,37.5163551,127.0521838
1156,서울특별시 강남구 봉은사로 474,37.5122834,127.0517546
1157,서울특별시 강남구 영동대로 640,37.5180985,127.0591595
1165,서울특별시 강남구 영동대로114길 72,37.518016,127.0649909
1169,서울특별시 강남구 영동대로112길 46,37.5126762,127.0490485
1176,서울특별시 강남구 테헤란로77길 8,37.5070483,127.0548939
1178,서울특별시 강남구 영동대로114길 23,37.5161194,127.0615905
1179,서울특별시 강남구 봉은사로68길 65,37.5085536,127.0533955
1182,서울특별시 강남구 학동로88길 5,37.5188053,127.0530001
1187,서울특별시 강남구 삼성로 517,37.5079717,127.0553302
1189,서울특별시 강남구 영동대로128길 5,37.5198576,127.0582766
1190,서울특별시 강남구 영동대로112길 15,37.51539,127.0617602
1191,서울특별시 강남구 삼성로120길 52-5,37.51905,127.0549801
1192,서울특별시 강남구 학동로64길 14,37.5167552,127.0446879
1195,서울특별시 강남구 삼성로111길 8,37.5138493,127.0515142
1208,서울특별시 강남구 영동대로128길 15,37.5199625,127.0595683
1211,서울특별시 강남구 헌릉로590길 63,37.4600486,127.1015872
1216,서울특별시 강남구 헌릉로590길 10,37.4641165,127.10273
1218,서울특별시 강남구 헌릉로571길 20,37.4664775,127.1190391
1231,서울특별시 강남구 헌릉로590길 11,37.4636638,127.1044593
1234,서울특별시 강남구 자곡로 21,37.5172363,127.0473248
1252,서울특별시 강남구 광평로34길 35,37.4795828,127.0885477
1257,서울특별시 강남구 광평로34길 55,37.4807917,127.0904871
1281,서울특별시 강남구 광평로19길 10,37.4846721,127.0873935
1347,서울특별시 강남구 광평로39길 3,37.4852813,127.0966796
1355,서울특별시 강남구 광평로31길 27,37.4848802,127.09066
1382,서울특별시 강남구 광평로51길 27,37.4890673,127.101008
1401,서울특별시 강남구 광평로51길 22,37.4893861,127.1024419
1405,서울특별시 강남구 광평로47길 17,37.4870719,127.0983474
1452,서울특별시 강남구 압구정로2길 46,37.518739,127.0206714
1454,서울특별시 강남구 압구정로42길 36,37.5265308,127.034518
1456,서울특별시 강남구 논현로151길 45,37.5194956,127.0243381
1457,서울특별시 강남구 압구정로2길 20,37.5200106,127.0196129
1458,서울특별시 강남구 압구정로50길 28,37.5265851,127.0373027
1460,서울특별시 강남구 도산대로35길 46,37.5237108,127.0307011
1461,서울특별시 강남구 압구정로34길 49,37.5248516,127.0307067
1462,서울특별시 강남구 언주로167길 15,37.5261447,127.0320408
1463,서울특별시 강남구 압구정로48길 15,37.5274161,127.0372219
1466,서울특별시 강남구 언주로167길 9,37.5260947,127.0324295
1468,서울특별시 강남구 압구정로42길 78,37.5237306,127.0336683
1470,서울특별시 강남구 논현로153길 42,37.5206136,127.0247568
1471,서울특별시 강남구 압구정로18길 14-8,37.5237606,127.0240495
1472,서울특별시 강남구 논현로158길 17,37.5221919,127.0297501
1474,서울특별시 강남구 논현로159길 56,37.5217734,127.0237858
1476,서울특별시 강남구 압구정로11길 17,37.5251822,127.0199989
1482,서울특별시 강남구 압구정로 113,37.524113,127.018523
1493,서울특별시 강남구 압구정로 151,37.5260254,127.0246603
1515,서울특별시 강남구 압구정로 321,37.5290723,127.0381148
1536,서울특별시 강남구 압구정로 347,37.5298051,127.0405888
1547,서울특별시 강남구 압구정로 313,37.529664,127.0365345
1549,서울특별시 강남구 압구정로 401,37.5289036,127.0419761
1561,서울특별시 강남구 압구정로61길 37,37.5291933,127.043812
1567,서울특별시 강남구 압구정로 403,37.5300056,127.0423037
1569,서울특별시 강남구 압구정로29길 69,37.5310487,127.0250939
1572,서울특별시 강남구 압구정로29길 23,37.5294881,127.0271654
1574,서울특별시 강남구 압구정로29길 57,37.5311981,127.0269248
1580,서울특별시 강남구 압구정로29길 71,37.5328218,127.0280273
1595,서울특별시 강남구 압구정로39길 58,37.5322952,127.0326911
1605,서울특별시 강남구 압구정로33길 70,37.5324077,127.0305942
