,gongsi_동리,diff
0,가락동,0.5950866566291135
1,가리봉동,0.2691263605776082
2,가산동,0.3309433330468742
3,가양동,0.5805807152585392
4,갈현동,0.2687450384895195
5,강일동,0.48827256149005693
6,개봉동,0.3566970001374088
7,개포동,0.960038745800569
8,거여동,0.6290264720387689
9,견지동,0.32466502070011205
10,고덕동,0.6745071699398263
11,고척동,0.34895155315973825
12,공덕동,0.7256939496016241
13,공릉동,0.401874316020587
14,공항동,0.3609715930874676
15,광장동,0.6880536290816761
16,교북동,0.7468578061595399
17,구기동,0.31805390433766506
18,구로동,0.34654311174645386
19,구산동,0.2875731235455947
20,구수동,0.7911176885282216
21,구의동,0.4833978663669444
22,군자동,0.42114328706813725
23,궁동,0.18229478020316886
24,금호동1가,0.7159487732722501
25,금호동2가,0.7464137954090259
26,금호동3가,0.6514648285633781
27,금호동4가,0.7521032794080738
28,길동,0.33780658706422284
29,길음동,0.5433816421401768
30,남가좌동,0.5214533647221339
31,남대문로5가,0.49955606915181305
32,남현동,0.40008292004201657
33,내곡동,0.6794713757913136
34,내발산동,0.42352742806650245
35,내수동,0.37995456821266244
36,냉천동,0.5755244779456249
37,노고산동,0.2730541996938255
38,노량진동,0.525294932889254
39,녹번동,0.5127973182611706
40,논현동,0.5112894844042508
41,답십리동,0.4761795723910631
42,당산동,0.41278300750777686
43,당산동1가,0.6421751204225654
44,당산동2가,0.4886726543529379
45,당산동3가,0.5991118692796121
46,당산동4가,0.5765889866584573
47,당산동5가,0.530572959342729
48,당산동6가,0.22584339010477983
49,대림동,0.3542491907226266
50,대방동,0.453416537085421
51,대조동,0.3035450858898405
52,대치동,0.7984581649754109
53,대현동,0.4176493325166038
54,대흥동,0.6480689138675401
55,도곡동,0.7645662335365901
56,도림동,0.5356199272085338
57,도봉동,0.31677043254454335
58,도선동,0.4625624299453442
59,도원동,0.7729906142113411
60,도화동,0.579251971882489
61,독산동,0.3350712748454938
62,돈암동,0.4154000716556683
63,동빙고동,0.48210199286802563
64,동선동4가,0.3118830495050849
65,동소문동4가,0.3853018578194005
66,동소문동5가,0.37405368715957904
67,동소문동6가,0.10038614305961141
68,동소문동7가,0.44948837417909204
69,동작동,0.6689055043194762
70,둔촌동,0.48680900206625616
71,등촌동,0.47592461312870576
72,마곡동,0.5778837805361413
73,마장동,0.606276004533037
74,마천동,0.512649165819603
75,마포동,0.33294906499573595
76,망우동,0.28412968074951095
77,망원동,0.4042081613692268
78,면목동,0.3699810484167516
79,명륜1가,0.3651139578029757
80,명륜2가,0.43796930380221555
81,명일동,0.6128389851659155
82,목동,0.5410074165351662
83,무악동,0.575438553087496
84,묵동,0.3922860296872784
85,묵정동,0.26930578245379927
86,문래동2가,0.6640506438906884
87,문래동3가,0.48787200872601066
88,문래동4가,0.5281339980428168
89,문래동5가,0.4835612922578591
90,문래동6가,0.5098958427039058
91,문배동,0.5953919587819034
92,문정동,0.6726628412251909
93,미아동,0.3991893830482431
94,반포동,0.9610955829405573
95,방배동,0.5558813051922025
96,방이동,0.6127157486019709
97,방학동,0.2899293594110449
98,방화동,0.4100712875546842
99,번동,0.35963471423110077
100,보광동,0.9046494015182809
101,보문동3가,0.5348581953899475
102,보문동6가,0.6992340070849965
103,본동,0.5847947073573783
104,봉천동,0.45629386202386785
105,부암동,0.23658594692761326
106,북가좌동,0.45756341535614087
107,북아현동,0.6124762446291436
108,불광동,0.4443649205296453
109,사근동,0.41405206482802315
110,사당동,0.5664554839767217
111,사직동,0.36283063703320423
112,산천동,0.6661795241355458
113,삼선동2가,0.45113773555707043
114,삼선동3가,0.4400491965227272
115,삼선동4가,0.45760553406510823
116,삼선동5가,0.23352726694383294
117,삼성동,0.6304888994010656
118,삼전동,0.4066057407575183
119,상계동,0.49070203252097405
120,상도1동,0.3194293484336772
121,상도동,0.4967098686825174
122,상봉동,0.36330439544472715
123,상수동,0.6599884917271874
124,상암동,0.5442702730968064
